sid,chain,treat,period,fte,pfratio,price
171,bk,1,1,25,1.3333333333333333,2.94
172,bk,1,0,41,0.4117647058823529,2.75
172,bk,1,1,22.5,0.6470588235294118,2.7399999999999998
173,bk,1,0,41.5,0.4411764705882353,2.95
173,bk,1,1,24,1.4285714285714286,2.8899999999999997
174,bk,1,0,41.5,0.4411764705882353,2.5500000000000003
174,bk,1,1,21.5,8.75,2.52
175,bk,1,0,46.5,0.38461538461538464,3.14
175,bk,1,1,23.75,0.7941176470588235,3.0399999999999996
176,bk,1,0,50,0.5,3.03
176,bk,1,1,30,2,3.01
177,kfc,1,0,5.5,3.5,4.630000000000001
177,kfc,1,1,9.5,4.333333333333333,4.74
178,kfc,1,0,6.5,2.3333333333333335,4.57
178,kfc,1,1,17,0,4.53
179,kfc,1,0,6.5,2.3333333333333335,4.25
179,kfc,1,1,16,0.9090909090909091,4.17
180,kfc,1,0,7.5,1.75,4.029999999999999
180,kfc,1,1,9.5,1.1666666666666667,4.06
181,kfc,1,0,8,0.6666666666666666,3.88
181,kfc,1,1,8.5,2.25,4
182,kfc,1,0,8.5,6.5,4.15
182,kfc,1,1,10.5,5,3.9099999999999997
183,kfc,1,0,8.5,1.4,3.96
183,kfc,1,1,9,0.5714285714285714,4.38
184,kfc,1,0,8.5,3.6666666666666665,5.86
184,kfc,1,1,27,0.16,4.28
185,kfc,1,0,9,1.6,4.25
185,kfc,1,1,14,1.5,4.21
186,kfc,1,0,9,4,3.9899999999999998
186,kfc,1,1,16.5,0.2,4.26
187,kfc,1,0,9,2.5,4.25
187,kfc,1,1,23.75,0.1590909090909091,4.21
188,kfc,1,0,9.5,4.333333333333333,4.04
188,kfc,1,1,10.5,5,4.34
189,kfc,1,0,9.5,7.5,4.73
189,kfc,1,1,12.5,3,4.58
190,kfc,1,0,9.5,1.8,4.73
190,kfc,1,1,8,1.2,4.8
191,kfc,1,0,9.75,1,4.25
191,kfc,1,1,17.5,0.1875,4.31
192,kfc,1,0,10,0.5,4.65
192,kfc,1,1,7.5,0.5,4.55
193,kfc,1,0,10,3,4.33
193,kfc,1,1,11,2,4.390000000000001
194,kfc,1,0,10,2,3.1399999999999997
194,kfc,1,1,15.5,0.21428571428571427,3.9899999999999998
195,kfc,1,0,10,0.5,4.08
195,kfc,1,1,7,2.6666666666666665,3.9899999999999998
196,kfc,1,0,10.5,2.2,4.779999999999999
196,kfc,1,1,14,3.6,4.74
197,kfc,1,0,10.5,3.25,3.88
197,kfc,1,1,9,4,3.9899999999999998
198,kfc,1,0,10.5,1.5,3.9899999999999998
198,kfc,1,1,15.5,0.8181818181818182,4.199999999999999
199,kfc,1,0,10.5,8.5,4.42
199,kfc,1,1,8.5,6.5,4.84
200,kfc,1,0,11,2.4,4.16
200,kfc,1,1,11,1.6666666666666667,4.27
201,kfc,1,0,11,0.4444444444444444,3.9299999999999997
201,kfc,1,1,9.5,0.375,3.87
202,kfc,1,0,11.5,1.2857142857142858,4.37
202,kfc,1,1,10,0.8571428571428571,4.32
203,kfc,1,0,11.5,0.875,4.82
203,kfc,1,1,14,0.5454545454545454,4.65
204,kfc,1,0,12,1.4285714285714286,5.21
204,kfc,1,1,23,0.19047619047619047,5.17
205,kfc,1,0,12,1.4285714285714286,4.25
205,kfc,1,1,9.5,0.7142857142857143,4.42
206,kfc,1,0,12.25,0.8823529411764706,4.25
206,kfc,1,1,13,3.2,4.16
207,kfc,1,0,12.5,1.5714285714285714,4.029999999999999
207,kfc,1,1,12,2.8,3.9899999999999998
208,kfc,1,0,12.5,3,4.779999999999999
208,kfc,1,1,12,2,4.74
209,kfc,1,0,12.5,3,4.14
209,kfc,1,1,11,3.5,3.9899999999999998
210,kfc,1,0,13,1.25,4.25
210,kfc,1,1,7.5,1.75,4.42
211,kfc,1,0,13,1.25,3.88
211,kfc,1,1,15.5,1.875,4
212,kfc,1,0,13,2.3333333333333335,4.42
212,kfc,1,1,11.5,1.8333333333333333,4.32
213,kfc,1,0,13,2.3333333333333335,4.029999999999999
213,kfc,1,1,10.5,2.2,4.01
214,kfc,1,0,13.5,2.5,5.21
214,kfc,1,1,12.5,1.5714285714285714,5.07
215,kfc,1,0,13.5,0.25,4.73
215,kfc,1,1,12.75,4.375,4.95
216,kfc,1,0,13.5,2.5,4.73
216,kfc,1,1,10.5,5,4.779999999999999
217,kfc,1,0,14,1.5,3.99
217,kfc,1,1,7.5,5.5,4.3100000000000005
218,kfc,1,0,14,5,4.42
218,kfc,1,1,12.5,2.1666666666666665,4.48
219,kfc,1,0,14,1.5,4.17
219,kfc,1,1,16.5,0.35714285714285715,4.28
220,kfc,1,0,14,7.333333333333333,4.42
220,kfc,1,1,37.5,0.5,4.42
221,kfc,1,0,15,2.2857142857142856,4.65
221,kfc,1,1,18.5,1.3636363636363635,4.6899999999999995
222,kfc,1,0,15,0.5,4.029999999999999
222,kfc,1,1,11.5,1.8333333333333333,4.119999999999999
223,kfc,1,0,15.5,0.38461538461538464,4.1
223,kfc,1,1,18,0.5714285714285714,4.25
224,kfc,1,0,15.5,1.4444444444444444,5.1
224,kfc,1,1,10.5,1,4.74
225,kfc,1,0,15.5,8.333333333333334,4.67
225,kfc,1,1,10.5,2.2,4.7
226,kfc,1,0,15.5,8.333333333333334,4.3100000000000005
226,kfc,1,1,19.5,0.4375,4.24
227,kfc,1,0,16,0.6666666666666666,4.4
227,kfc,1,1,15.5,2.4285714285714284,4.59
228,kfc,1,0,16.5,3.076923076923077,4.25
228,kfc,1,1,20,6,4.32
229,kfc,1,0,17,0.8333333333333334,4.25
229,kfc,1,1,13.5,0.5714285714285714,4.21
230,kfc,1,0,17.5,5,4.42
230,kfc,1,1,16,3.3333333333333335,4.37
231,kfc,1,0,18,0.25,4.73
231,kfc,1,1,22,0.5882352941176471,4.8
232,kfc,1,0,18,7,4.53
232,kfc,1,1,11.5,3.75,4.52
233,kfc,1,0,19,0.9230769230769231,4.25
233,kfc,1,1,6.5,2.3333333333333335,4.1
234,kfc,1,0,19,0,4.1
234,kfc,1,1,9.5,7.5,4.51
235,kfc,1,0,19.5,0.29411764705882354,4.78
235,kfc,1,1,17.5,0.5,4.74
236,kfc,1,0,20,0.2222222222222222,4.74
236,kfc,1,1,11.5,9.5,4.21
237,kfc,1,0,22,0.75,4.1
237,kfc,1,1,9,2.5,4.59
238,kfc,1,0,23.5,0.13636363636363635,4.42
238,kfc,1,1,10,4.666666666666667,4.33
239,kfc,1,0,33,0.35714285714285715,4.25
239,kfc,1,1,36.5,0.21212121212121213,4.21
240,roys,1,0,5,0.5,4.720000000000001
240,roys,1,1,8,0.2857142857142857,4.35
241,roys,1,0,10,3,2.92
241,roys,1,1,10,2,4.02
242,roys,1,0,13,6.666666666666667,2.92
242,roys,1,1,12.5,1.125,2.91
243,roys,1,0,13,6.666666666666667,3.6
243,roys,1,1,20,2.4444444444444446,3.7300000000000004
244,roys,1,0,13.5,0.7,4.59
244,roys,1,1,14,0.8,4.619999999999999
245,roys,1,0,13.5,3.4,2.56
245,roys,1,1,14.5,3.8,2.54
246,roys,1,0,14,5,4.08
246,roys,1,1,25.5,4.375,2.94
247,roys,1,0,14.5,2.142857142857143,2.8499999999999996
247,roys,1,1,12.5,3,3.04
248,roys,1,0,14.5,2.142857142857143,3.3100000000000005
248,roys,1,1,12.5,6.333333333333333,3.2199999999999998
249,roys,1,0,15,2,3.44
249,roys,1,1,19,0.9230769230769231,3.3
250,roys,1,0,15,3,2.92
250,roys,1,1,12.5,3,2.96
251,roys,1,0,15,0.5,3.16
251,roys,1,1,22.5,3,3.2199999999999998
252,roys,1,0,15.5,1.875,3.2
252,roys,1,1,17.5,0.5,3.06
253,roys,1,0,15.5,1.875,2.9400000000000004
253,roys,1,1,11.5,3.75,3.04
254,roys,1,0,16,2,3.2500000000000004
254,roys,1,1,16,3.3333333333333335,4.279999999999999
255,roys,1,0,16.5,0.75,3.0900000000000003
255,roys,1,1,17,2.857142857142857,2.91
256,roys,1,0,17,2.857142857142857,3.27
256,roys,1,1,16.75,2.1875,3.2199999999999998
257,roys,1,0,17,4.8,3.0300000000000002
257,roys,1,1,12.5,3,2.91
258,roys,1,0,17.5,1.8888888888888888,3.2
258,roys,1,1,12,3.3333333333333335,3.1799999999999997
259,roys,1,0,18.5,4.166666666666667,2.7300000000000004
259,roys,1,1,13.5,2.5,3.0300000000000002
260,roys,1,0,18.5,1.0833333333333333,3.14
260,roys,1,1,18.5,0.3125,2.91
261,roys,1,0,18.75,5.5,2.87
261,roys,1,1,24,1.4285714285714286,2.75
262,roys,1,0,19,0.9230769230769231,4.1899999999999995
262,roys,1,1,24,3.3333333333333335,3.48
263,roys,1,0,19,0.7142857142857143,3.2
263,roys,1,1,21.5,0.2631578947368421,3.21
264,roys,1,0,19.25,3.923076923076923,3.2500000000000004
264,roys,1,1,21.5,6.6,3.1599999999999997
265,roys,1,0,19.5,3.5714285714285716,2.95
265,roys,1,1,18,2.5,4.0600000000000005
266,roys,1,0,19.5,4.5,2.8800000000000003
266,roys,1,1,28.5,1.5625,2.96
267,roys,1,0,20,0.5,3.43
267,roys,1,1,31,0.8181818181818182,3.3899999999999997
268,roys,1,0,20.5,2.5555555555555554,2.8400000000000003
268,roys,1,1,15,1.3333333333333333,2.96
269,roys,1,0,21,0.625,3.16
269,roys,1,1,18,1,3.17
270,roys,1,0,21,3.6,2.9800000000000004
270,roys,1,1,14,5,2.96
271,roys,1,0,21,4,3.2
271,roys,1,1,16.5,1.6666666666666667,4.34
272,roys,1,0,21.5,2.7777777777777777,3.25
272,roys,1,1,20,1.6363636363636365,3.2199999999999998
273,roys,1,0,21.5,0.8666666666666667,3.04
273,roys,1,1,15.5,13.5,3.13
274,roys,1,0,22,0.4444444444444444,3.2399999999999998
274,roys,1,1,18,1,3.2700000000000005
275,roys,1,0,22.5,2.5,2.83
275,roys,1,1,21,2.2,3.2199999999999998
276,roys,1,0,22.75,2.55,3.1900000000000004
276,roys,1,1,25,6.333333333333333,3.2199999999999998
277,roys,1,0,23,3.75,3.2
277,roys,1,1,15.5,1.875,3.2199999999999998
278,roys,1,0,23,13.333333333333334,3.2
278,roys,1,1,21,5,3.17
279,roys,1,0,23,1.5384615384615385,4.78
279,roys,1,1,21.5,1.0714285714285714,3.74
280,roys,1,0,23.25,1.5769230769230769,3.2
280,roys,1,1,17.5,5,4.609999999999999
281,roys,1,0,24,1.4285714285714286,3.09
281,roys,1,1,25,1.125,3.1799999999999997
282,roys,1,0,24.5,2.0833333333333335,3.2
282,roys,1,1,36,0.4,3.2199999999999998
283,roys,1,0,24.5,0.7222222222222222,3.24
283,roys,1,1,35.5,0.5357142857142857,3.2199999999999998
284,roys,1,0,24.5,4.125,3.2600000000000002
284,roys,1,1,20.5,3.125,3.21
285,roys,1,0,26,1.25,3.04
285,roys,1,1,16.5,1,3.2199999999999998
286,roys,1,0,26,4.5,3.0700000000000003
286,roys,1,1,28.5,3.7,3.2199999999999998
287,roys,1,0,26.5,0.7894736842105263,3.32
287,roys,1,1,23,2.1818181818181817,3.2299999999999995
288,roys,1,0,27,0.7,3.24
288,roys,1,1,30.25,0.6304347826086957,3.32
289,roys,1,0,28,2.6666666666666665,3.16
289,roys,1,1,38.5,0.4838709677419355,3.2199999999999998
290,roys,1,0,30,4.666666666666667,3.15
290,roys,1,1,26,2.727272727272727,3.8
291,roys,1,0,30,2,3.31
291,roys,1,1,28,0.5454545454545454,3.2800000000000002
292,roys,1,0,30.5,1.3888888888888888,3.2
292,roys,1,1,32,1.7647058823529411,3.2700000000000005
293,roys,1,0,30.5,2.6923076923076925,3.14
293,roys,1,1,32.5,2.3333333333333335,3.1500000000000004
294,roys,1,0,31.5,1.3157894736842106,3.18
294,roys,1,1,22,2,3.21
295,roys,1,0,32,2,2.98
295,roys,1,1,24,4,3.17
296,roys,1,0,33,0.8695652173913043,2.84
296,roys,1,1,20,1.6363636363636365,3.0000000000000004
297,roys,1,0,33,0.35714285714285715,3.18
297,roys,1,1,20,0.6666666666666666,3.2199999999999998
298,roys,1,0,35,5,3.42
298,roys,1,1,37,8.571428571428571,3.17
299,roys,1,0,35.5,1.9444444444444444,3.2600000000000002
299,roys,1,1,25.5,0.8333333333333334,3.1500000000000004
300,roys,1,0,36,0.5714285714285714,4.47
300,roys,1,1,26,2.727272727272727,3.21
301,wendys,1,0,10,4.666666666666667,2.65
301,wendys,1,1,16,1.2,3.96
302,wendys,1,0,10.5,3.25,2.79
302,wendys,1,1,11.5,1.2857142857142858,3.17
303,wendys,1,0,12,1.4285714285714286,3.7199999999999998
303,wendys,1,1,14.5,0.6363636363636364,4.529999999999999
304,wendys,1,0,13,11,2.61
304,wendys,1,1,15,13,2.79
305,wendys,1,0,13,6.666666666666667,2.7
305,wendys,1,1,14.5,12.5,2.8
306,wendys,1,0,13.5,3.4,2.8200000000000003
306,wendys,1,1,13.5,3.4,2.74
307,wendys,1,0,14,0.8,4.07
307,wendys,1,1,20.5,11.666666666666666,4.27
308,wendys,1,0,15,2.2857142857142856,2.8200000000000003
308,wendys,1,1,16,3.3333333333333335,2.99
309,wendys,1,0,17,1.0909090909090908,2.79
309,wendys,1,1,13.5,11.5,2.79
310,wendys,1,0,17,2.857142857142857,2.76
310,wendys,1,1,16,2,2.79
311,wendys,1,0,17.5,2.6666666666666665,2.76
311,wendys,1,1,27,0.25,4.1899999999999995
312,wendys,1,0,18,1,4.5
312,wendys,1,1,33.5,2.1875,3.03
313,wendys,1,0,18,10,2.97
313,wendys,1,1,23.5,2.272727272727273,3.8899999999999997
314,wendys,1,0,18,7,3.76
314,wendys,1,1,17.5,3.8333333333333335,3.93
315,wendys,1,0,18.25,1.3181818181818181,3.15
315,wendys,1,1,33,0.27586206896551724,3.1399999999999997
316,wendys,1,0,19,7.5,2.88
316,wendys,1,1,53,0.7894736842105263,3.01
317,wendys,1,0,19.5,11,3.1
317,wendys,1,1,25,1.8461538461538463,4.05
318,wendys,1,0,20,3.7142857142857144,3.1
318,wendys,1,1,23.5,2.272727272727273,4.27
319,wendys,1,0,20.25,4.75,2.76
319,wendys,1,1,23.5,1.3571428571428572,2.73
320,wendys,1,0,20.5,0.4117647058823529,2.76
320,wendys,1,1,15.5,0.5833333333333334,2.79
321,wendys,1,0,20.5,0.6451612903225806,2.81
321,wendys,1,1,18,7,2.9000000000000004
322,wendys,1,0,20.5,1.1538461538461537,2.8200000000000003
322,wendys,1,1,23.5,0.6111111111111112,4.529999999999999
323,wendys,1,0,21.5,1.5833333333333333,2.86
323,wendys,1,1,18,10,4.01
324,wendys,1,0,21.5,1.0714285714285714,2.99
324,wendys,1,1,25.5,1.9230769230769231,3.2300000000000004
325,wendys,1,0,22,1.1428571428571428,2.97
325,wendys,1,1,23,0.875,4.35
326,wendys,1,0,23,13.333333333333334,2.83
326,wendys,1,1,27.5,3.5,2.99
327,wendys,1,0,24,10,3.1700000000000004
327,wendys,1,1,24,10,4.27
328,wendys,1,0,28,0.43478260869565216,2.98
328,wendys,1,1,36,0.3225806451612903,2.9000000000000004
329,wendys,1,0,28,2.3076923076923075,2.8200000000000003
329,wendys,1,1,25.5,5.285714285714286,3.1399999999999997
330,wendys,1,0,28,0.43478260869565216,3.0100000000000002
330,wendys,1,1,22.5,1.2142857142857142,3.08
331,wendys,1,0,29,2.4615384615384617,2.86
331,wendys,1,1,21.5,8.75,3.21
332,wendys,1,0,29,0.4166666666666667,2.8200000000000003
332,wendys,1,1,22.5,4,3.1500000000000004
333,wendys,1,0,34.5,0.4642857142857143,3.1
333,wendys,1,1,26.5,11.25,4.16
334,wendys,1,0,36.5,1.8421052631578947,3.07
334,wendys,1,1,60.5,0.6888888888888889,3.16
335,wendys,1,0,44,0.5882352941176471,3.07
335,wendys,1,1,16.5,6.25,3.01
336,wendys,1,0,53,0.46511627906976744,2.73
336,wendys,1,1,19,0.7142857142857143,2.78
